ing_indic,ing_nacionalidad,ing_periodo,ing_valor
INGRESO_PAX,Extranjero,202103,15804
INGRESO_PAX,Colombiano,202103,21608
INGRESO_PAX,Extranjero,202003,16070
INGRESO_PAX,Colombiano,202003,23872
INGRESO_PAX,Extranjero,201903,30284
INGRESO_PAX,Colombiano,201903,32419
INGRESO_PAX,Extranjero,201803,27608
INGRESO_PAX,Colombiano,201803,36618
INGRESO_PAX,Extranjero,201703,20190
INGRESO_PAX,Colombiano,201703,28570
INGRESO_PAX,Colombiano,201603,31609
INGRESO_PAX,Extranjero,201603,22128
INGRESO_PAX,Extranjero,201503,13726
INGRESO_PAX,Colombiano,201503,25860
INGRESO_PAX,Colombiano,201403,24216
INGRESO_PAX,Extranjero,201403,12251
INGRESO_PAX,Extranjero,201303,9478
INGRESO_PAX,Colombiano,201303,22680
INGRESO_PAX,Extranjero,201203,8850
INGRESO_PAX,Colombiano,201203,18255
INGRESO_PAX,Colombiano,201103,14298
INGRESO_PAX,Extranjero,201103,9283
INGRESO_PAX,Colombiano,201003,7265
INGRESO_PAX,Extranjero,201003,13301
INGRESO_PAX,Extranjero,200903,8433
INGRESO_PAX,Colombiano,200903,13359
INGRESO_PAX,Extranjero,200803,4343
INGRESO_PAX,Colombiano,200803,14292
INGRESO_PAX,Colombiano,202302,42839
INGRESO_PAX,Extranjero,202302,61206
INGRESO_PAX,Extranjero,202202,36195
INGRESO_PAX,Colombiano,202202,36147
INGRESO_PAX,Colombiano,202102,15405
INGRESO_PAX,Extranjero,202102,10648
INGRESO_PAX,Extranjero,202002,37621
INGRESO_PAX,Colombiano,202002,35423
INGRESO_PAX,Extranjero,201902,29890
INGRESO_PAX,Colombiano,201902,30152
INGRESO_PAX,Extranjero,201802,26802
INGRESO_PAX,Colombiano,201802,27573
INGRESO_PAX,Colombiano,201702,25486
INGRESO_PAX,Extranjero,201702,21391
INGRESO_PAX,Colombiano,201602,24864
INGRESO_PAX,Extranjero,201602,21032
INGRESO_PAX,Colombiano,201502,22686
INGRESO_PAX,Extranjero,201502,13697
INGRESO_PAX,Extranjero,201402,10966
INGRESO_PAX,Colombiano,201402,20481
INGRESO_PAX,Extranjero,201302,10649
INGRESO_PAX,Colombiano,201302,18784
INGRESO_PAX,Colombiano,201202,15364
INGRESO_PAX,Extranjero,201202,8520
INGRESO_PAX,Colombiano,201102,27608
INGRESO_PAX,Extranjero,201102,8393
INGRESO_PAX,Colombiano,201002,12465
INGRESO_PAX,Extranjero,201002,7265
INGRESO_PAX,Extranjero,200902,5984
INGRESO_PAX,Colombiano,200902,10623
INGRESO_PAX,Colombiano,200802,10275
INGRESO_PAX,Extranjero,200802,4729
INGRESO_PAX,Extranjero,202212,70520
INGRESO_PAX,Colombiano,202212,84891
INGRESO_PAX,Colombiano,202112,68006
INGRESO_PAX,Extranjero,202112,42072
INGRESO_PAX,Colombiano,202012,30139
